Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
All,Chrome 90.0.4430.85,,,2021-04-25 13:11:55,2021-04-25 13:12:44,49.724s,FAILED
,,,,,,,
Test Cases/Bad login,Chrome 90.0.4430.85,,,2021-04-25 13:11:56,2021-04-25 13:12:01,5.144s,FAILED
"openBrowser("""")",Chrome 90.0.4430.85,,,2021-04-25 13:11:57,2021-04-25 13:11:59,2.223s,PASSED
"navigateToUrl(""http://localhost:8080/"")",Chrome 90.0.4430.85,,,2021-04-25 13:11:59,2021-04-25 13:12:00,1.601s,PASSED
"click(findTestObject(""Object Repository/Page_Home - HE-F1/button_Sign in""))",Chrome 90.0.4430.85,,,2021-04-25 13:12:00,2021-04-25 13:12:01,0.927s,FAILED
,,,,,,,
Test Cases/Non-existent login,Chrome 90.0.4430.85,,,2021-04-25 13:12:01,2021-04-25 13:12:08,6.727s,PASSED
"openBrowser("""")",Chrome 90.0.4430.85,,,2021-04-25 13:12:02,2021-04-25 13:12:04,2.382s,PASSED
"navigateToUrl(""http://localhost:8080/"")",Chrome 90.0.4430.85,,,2021-04-25 13:12:04,2021-04-25 13:12:06,1.546s,PASSED
"click(findTestObject(""Object Repository/Page_Home - HE-F1/button_Sign in_1""))",Chrome 90.0.4430.85,,,2021-04-25 13:12:06,2021-04-25 13:12:06,0.385s,PASSED
"setText(findTestObject(""Object Repository/Page_Home - HE-F1/input_Username_username""), ""DONOTEXIST"")",Chrome 90.0.4430.85,,,2021-04-25 13:12:06,2021-04-25 13:12:07,1.014s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Home - HE-F1/input_Password_password""), ""zHjooWdMq5ELqzqGAnqt5Q=="")",Chrome 90.0.4430.85,,,2021-04-25 13:12:07,2021-04-25 13:12:08,0.483s,PASSED
"click(findTestObject(""Object Repository/Page_Home - HE-F1/button_Sign in""))",Chrome 90.0.4430.85,,,2021-04-25 13:12:08,2021-04-25 13:12:08,0.567s,PASSED
,,,,,,,
Test Cases/Good login,Chrome 90.0.4430.85,,,2021-04-25 13:12:08,2021-04-25 13:12:14,6.094s,PASSED
"openBrowser("""")",Chrome 90.0.4430.85,,,2021-04-25 13:12:08,2021-04-25 13:12:11,2.348s,PASSED
"navigateToUrl(""http://localhost:8080/"")",Chrome 90.0.4430.85,,,2021-04-25 13:12:11,2021-04-25 13:12:12,0.870s,PASSED
"click(findTestObject(""Object Repository/Page_Home - HE-F1/button_Sign in_1""))",Chrome 90.0.4430.85,,,2021-04-25 13:12:12,2021-04-25 13:12:12,0.383s,PASSED
