Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
All,Chrome 90.0.4430.85,,,2021-04-25 15:26:18,2021-04-25 15:28:17,1m - 58.501s,FAILED
,,,,,,,
Test Cases/Bad login,Chrome 90.0.4430.85,,,2021-04-25 15:26:20,2021-04-25 15:26:29,8.351s,PASSED
"openBrowser("""")",Chrome 90.0.4430.85,,,2021-04-25 15:26:21,2021-04-25 15:26:24,3.071s,PASSED
"navigateToUrl(""http://localhost:8080/"")",Chrome 90.0.4430.85,,,2021-04-25 15:26:24,2021-04-25 15:26:25,1.627s,PASSED
"click(findTestObject(""Object Repository/Page_Home - HE-F1/button_Sign in_1""))",Chrome 90.0.4430.85,,,2021-04-25 15:26:25,2021-04-25 15:26:26,0.546s,PASSED
"click(findTestObject(""Object Repository/Page_Home - HE-F1/input_Username_username""))",Chrome 90.0.4430.85,,,2021-04-25 15:26:26,2021-04-25 15:26:27,0.743s,PASSED
"setText(findTestObject(""Object Repository/Page_Home - HE-F1/input_Username_username""), ""seb"")",Chrome 90.0.4430.85,,,2021-04-25 15:26:27,2021-04-25 15:26:27,0.693s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Home - HE-F1/input_Password_password""), ""xUJzFrauW3tHsoKBEbc+CkNRGGZUImdZ"")",Chrome 90.0.4430.85,,,2021-04-25 15:26:27,2021-04-25 15:26:28,0.490s,PASSED
"click(findTestObject(""Object Repository/Page_Home - HE-F1/button_Sign in""))",Chrome 90.0.4430.85,,,2021-04-25 15:26:28,2021-04-25 15:26:29,0.802s,PASSED
,,,,,,,
Test Cases/Non-existent login,Chrome 90.0.4430.85,,,2021-04-25 15:26:29,2021-04-25 15:26:35,6.720s,PASSED
"openBrowser("""")",Chrome 90.0.4430.85,,,2021-04-25 15:26:29,2021-04-25 15:26:32,2.562s,PASSED
"navigateToUrl(""http://localhost:8080/"")",Chrome 90.0.4430.85,,,2021-04-25 15:26:32,2021-04-25 15:26:33,1.277s,PASSED
"click(findTestObject(""Object Repository/Page_Home - HE-F1/button_Sign in_1""))",Chrome 90.0.4430.85,,,2021-04-25 15:26:33,2021-04-25 15:26:33,0.429s,PASSED
"setText(findTestObject(""Object Repository/Page_Home - HE-F1/input_Username_username""), ""DONOTEXIST"")",Chrome 90.0.4430.85,,,2021-04-25 15:26:33,2021-04-25 15:26:34,1.046s,PASSED
