Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
All,Chrome 89.0.4389.114,,,2021-04-12 11:43:47,2021-04-12 11:44:35,48.367s,PASSED
,,,,,,,
Test Cases/Bad login,Chrome 89.0.4389.114,,,2021-04-12 11:43:48,2021-04-12 11:43:53,5.116s,PASSED
"openBrowser("""")",Chrome 89.0.4389.114,,,2021-04-12 11:43:49,2021-04-12 11:43:51,2.080s,PASSED
"navigateToUrl(""http://localhost:8080/login"")",Chrome 89.0.4389.114,,,2021-04-12 11:43:51,2021-04-12 11:43:52,0.937s,PASSED
"setText(findTestObject(""Object Repository/Page_Login/input_Username_username""), ""seb"")",Chrome 89.0.4389.114,,,2021-04-12 11:43:52,2021-04-12 11:43:53,0.806s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Login/input_Password_password""), ""HeCM15nHKBI="")",Chrome 89.0.4389.114,,,2021-04-12 11:43:53,2021-04-12 11:43:53,0.435s,PASSED
"click(findTestObject(""Object Repository/Page_Login/button_Sign In""))",Chrome 89.0.4389.114,,,2021-04-12 11:43:53,2021-04-12 11:43:53,0.488s,PASSED
,,,,,,,
Test Cases/Non-existent login,Chrome 89.0.4389.114,,,2021-04-12 11:43:54,2021-04-12 11:43:59,5.259s,PASSED
"openBrowser("""")",Chrome 89.0.4389.114,,,2021-04-12 11:43:54,2021-04-12 11:43:56,2.241s,PASSED
"navigateToUrl(""http://localhost:8080/login"")",Chrome 89.0.4389.114,,,2021-04-12 11:43:56,2021-04-12 11:43:57,1.037s,PASSED
"setText(findTestObject(""Object Repository/Page_Login/input_Username_username""), ""sebdonotexist"")",Chrome 89.0.4389.114,,,2021-04-12 11:43:57,2021-04-12 11:43:58,0.796s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Login/input_Password_password""), ""RigbBhfdqOBGNlJIWM1ClA=="")",Chrome 89.0.4389.114,,,2021-04-12 11:43:58,2021-04-12 11:43:58,0.405s,PASSED
"click(findTestObject(""Object Repository/Page_Login/button_Sign In""))",Chrome 89.0.4389.114,,,2021-04-12 11:43:58,2021-04-12 11:43:59,0.498s,PASSED
,,,,,,,
Test Cases/Good login,Chrome 89.0.4389.114,,,2021-04-12 11:43:59,2021-04-12 11:44:04,5.226s,PASSED
"openBrowser("""")",Chrome 89.0.4389.114,,,2021-04-12 11:43:59,2021-04-12 11:44:01,2.179s,PASSED
