Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
All,Chrome 90.0.4430.85,,,2021-04-25 13:57:05,2021-04-25 13:58:14,1m - 9.326s,FAILED
,,,,,,,
Test Cases/Bad login,Chrome 90.0.4430.85,,,2021-04-25 13:57:07,2021-04-25 13:57:13,6.900s,PASSED
"openBrowser("""")",Chrome 90.0.4430.85,,,2021-04-25 13:57:07,2021-04-25 13:57:09,2.165s,PASSED
"navigateToUrl(""http://localhost:8080/"")",Chrome 90.0.4430.85,,,2021-04-25 13:57:09,2021-04-25 13:57:11,1.512s,PASSED
"click(findTestObject(""Object Repository/Page_Home - HE-F1/button_Sign in_1""))",Chrome 90.0.4430.85,,,2021-04-25 13:57:11,2021-04-25 13:57:11,0.473s,PASSED
"click(findTestObject(""Object Repository/Page_Home - HE-F1/input_Username_username""))",Chrome 90.0.4430.85,,,2021-04-25 13:57:11,2021-04-25 13:57:12,0.636s,PASSED
"setText(findTestObject(""Object Repository/Page_Home - HE-F1/input_Username_username""), ""seb"")",Chrome 90.0.4430.85,,,2021-04-25 13:57:12,2021-04-25 13:57:12,0.665s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Home - HE-F1/input_Password_password""), ""xUJzFrauW3tHsoKBEbc+CkNRGGZUImdZ"")",Chrome 90.0.4430.85,,,2021-04-25 13:57:12,2021-04-25 13:57:13,0.512s,PASSED
"click(findTestObject(""Object Repository/Page_Home - HE-F1/button_Sign in""))",Chrome 90.0.4430.85,,,2021-04-25 13:57:13,2021-04-25 13:57:13,0.589s,PASSED
,,,,,,,
Test Cases/Non-existent login,Chrome 90.0.4430.85,,,2021-04-25 13:57:13,2021-04-25 13:57:20,6.648s,PASSED
"openBrowser("""")",Chrome 90.0.4430.85,,,2021-04-25 13:57:14,2021-04-25 13:57:16,2.303s,PASSED
"navigateToUrl(""http://localhost:8080/"")",Chrome 90.0.4430.85,,,2021-04-25 13:57:16,2021-04-25 13:57:18,1.587s,PASSED
"click(findTestObject(""Object Repository/Page_Home - HE-F1/button_Sign in_1""))",Chrome 90.0.4430.85,,,2021-04-25 13:57:18,2021-04-25 13:57:18,0.386s,PASSED
"setText(findTestObject(""Object Repository/Page_Home - HE-F1/input_Username_username""), ""DONOTEXIST"")",Chrome 90.0.4430.85,,,2021-04-25 13:57:18,2021-04-25 13:57:19,1.009s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Home - HE-F1/input_Password_password""), ""zHjooWdMq5ELqzqGAnqt5Q=="")",Chrome 90.0.4430.85,,,2021-04-25 13:57:19,2021-04-25 13:57:20,0.403s,PASSED
"click(findTestObject(""Object Repository/Page_Home - HE-F1/button_Sign in""))",Chrome 90.0.4430.85,,,2021-04-25 13:57:20,2021-04-25 13:57:20,0.558s,PASSED
,,,,,,,
Test Cases/Good login,Chrome 90.0.4430.85,,,2021-04-25 13:57:20,2021-04-25 13:57:26,6.047s,PASSED
"openBrowser("""")",Chrome 90.0.4430.85,,,2021-04-25 13:57:20,2021-04-25 13:57:23,2.276s,PASSED
"navigateToUrl(""http://localhost:8080/"")",Chrome 90.0.4430.85,,,2021-04-25 13:57:23,2021-04-25 13:57:24,0.884s,PASSED
"click(findTestObject(""Object Repository/Page_Home - HE-F1/button_Sign in_1""))",Chrome 90.0.4430.85,,,2021-04-25 13:57:24,2021-04-25 13:57:24,0.398s,PASSED
"setText(findTestObject(""Object Repository/Page_Home - HE-F1/input_Username_username""), ""seb"")",Chrome 90.0.4430.85,,,2021-04-25 13:57:24,2021-04-25 13:57:25,1.034s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Home - HE-F1/input_Password_password""), ""RigbBhfdqOBGNlJIWM1ClA=="")",Chrome 90.0.4430.85,,,2021-04-25 13:57:25,2021-04-25 13:57:25,0.392s,PASSED
"click(findTestObject(""Object Repository/Page_Home - HE-F1/button_Sign in""))",Chrome 90.0.4430.85,,,2021-04-25 13:57:25,2021-04-25 13:57:26,0.717s,PASSED
,,,,,,,
Test Cases/Signup already used email,Chrome 90.0.4430.85,,,2021-04-25 13:57:26,2021-04-25 13:57:35,8.598s,PASSED
"openBrowser("""")",Chrome 90.0.4430.85,,,2021-04-25 13:57:27,2021-04-25 13:57:29,2.325s,PASSED
