Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
All,Chrome 89.0.4389.128,,,2021-04-19 08:55:46,2021-04-19 08:56:35,48.835s,PASSED
,,,,,,,
Test Cases/Bad login,Chrome 89.0.4389.128,,,2021-04-19 08:55:47,2021-04-19 08:55:54,6.857s,PASSED
"openBrowser("""")",Chrome 89.0.4389.128,,,2021-04-19 08:55:48,2021-04-19 08:55:51,3.359s,PASSED
"navigateToUrl(""http://localhost:8080/login"")",Chrome 89.0.4389.128,,,2021-04-19 08:55:51,2021-04-19 08:55:52,1.159s,PASSED
"setText(findTestObject(""Object Repository/Page_Login/input_Username_username""), ""seb"")",Chrome 89.0.4389.128,,,2021-04-19 08:55:52,2021-04-19 08:55:53,0.906s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Login/input_Password_password""), ""HeCM15nHKBI="")",Chrome 89.0.4389.128,,,2021-04-19 08:55:53,2021-04-19 08:55:54,0.504s,PASSED
"click(findTestObject(""Object Repository/Page_Login/button_Sign In""))",Chrome 89.0.4389.128,,,2021-04-19 08:55:54,2021-04-19 08:55:54,0.529s,PASSED
,,,,,,,
Test Cases/Non-existent login,Chrome 89.0.4389.128,,,2021-04-19 08:55:54,2021-04-19 08:56:00,5.190s,PASSED
"openBrowser("""")",Chrome 89.0.4389.128,,,2021-04-19 08:55:55,2021-04-19 08:55:57,2.107s,PASSED
"navigateToUrl(""http://localhost:8080/login"")",Chrome 89.0.4389.128,,,2021-04-19 08:55:57,2021-04-19 08:55:58,1.051s,PASSED
"setText(findTestObject(""Object Repository/Page_Login/input_Username_username""), ""sebdonotexist"")",Chrome 89.0.4389.128,,,2021-04-19 08:55:58,2021-04-19 08:55:59,0.789s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Login/input_Password_password""), ""RigbBhfdqOBGNlJIWM1ClA=="")",Chrome 89.0.4389.128,,,2021-04-19 08:55:59,2021-04-19 08:55:59,0.431s,PASSED
"click(findTestObject(""Object Repository/Page_Login/button_Sign In""))",Chrome 89.0.4389.128,,,2021-04-19 08:55:59,2021-04-19 08:56:00,0.538s,PASSED
,,,,,,,
Test Cases/Good login,Chrome 89.0.4389.128,,,2021-04-19 08:56:00,2021-04-19 08:56:05,5.409s,PASSED
"openBrowser("""")",Chrome 89.0.4389.128,,,2021-04-19 08:56:00,2021-04-19 08:56:02,2.219s,PASSED
