Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
All,Chrome 89.0.4389.128,,,2021-04-19 10:34:28,2021-04-19 10:35:30,1m - 1.801s,PASSED
,,,,,,,
Test Cases/Bad login,Chrome 89.0.4389.128,,,2021-04-19 10:34:30,2021-04-19 10:34:37,6.771s,PASSED
"openBrowser("""")",Chrome 89.0.4389.128,,,2021-04-19 10:34:31,2021-04-19 10:34:33,2.349s,PASSED
"navigateToUrl(""http://localhost:8080/"")",Chrome 89.0.4389.128,,,2021-04-19 10:34:33,2021-04-19 10:34:34,1.064s,PASSED
"click(findTestObject(""Object Repository/Page_Login/button_Menu""))",Chrome 89.0.4389.128,,,2021-04-19 10:34:34,2021-04-19 10:34:35,0.518s,PASSED
"click(findTestObject(""Object Repository/Page_Login/a_Sign in""))",Chrome 89.0.4389.128,,,2021-04-19 10:34:35,2021-04-19 10:34:35,0.475s,PASSED
"setText(findTestObject(""Object Repository/Page_Login/input_Username_username""), ""seb"")",Chrome 89.0.4389.128,,,2021-04-19 10:34:35,2021-04-19 10:34:36,0.927s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Login/input_Password_password""), ""vu86ZeCopXvP8WzHePPxcHNDgA8PcNbW"")",Chrome 89.0.4389.128,,,2021-04-19 10:34:36,2021-04-19 10:34:37,0.428s,PASSED
"click(findTestObject(""Object Repository/Page_Login/button_Sign In""))",Chrome 89.0.4389.128,,,2021-04-19 10:34:37,2021-04-19 10:34:37,0.549s,PASSED
,,,,,,,
Test Cases/Non-existent login,Chrome 89.0.4389.128,,,2021-04-19 10:34:37,2021-04-19 10:34:44,6.947s,PASSED
"openBrowser("""")",Chrome 89.0.4389.128,,,2021-04-19 10:34:37,2021-04-19 10:34:40,2.344s,PASSED
"navigateToUrl(""http://localhost:8080/"")",Chrome 89.0.4389.128,,,2021-04-19 10:34:40,2021-04-19 10:34:41,1.219s,PASSED
"click(findTestObject(""Object Repository/Page_Login/button_Menu""))",Chrome 89.0.4389.128,,,2021-04-19 10:34:41,2021-04-19 10:34:42,0.490s,PASSED
"click(findTestObject(""Object Repository/Page_Login/a_Sign in""))",Chrome 89.0.4389.128,,,2021-04-19 10:34:42,2021-04-19 10:34:42,0.465s,PASSED
